ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
1206,1038,-168,,Mansfield Woodhouse BUASD,Mansfield Woodhouse,East Midlands,1038,1218,106,1065,1102,less than £350k,458,,,,,,,,,,,,,,,,,
426,1040,614,,Borough Green BUASD,Borough Green,South East,1040,446,1162,469,1156,£350k-£650k,476,,,,,,,,,,,,,,,,,
933,1041,108,,Aylesham BUA,Aylesham,South East,1041,692,30,1263,1350,£350k-£650k,477,,,,,,,,,,,,,,,,,
1307,1042,-265,,Urmston BUASD,Urmston,North West,1042,937,562,1205,614,£350k-£650k,478,,,,,,,,,,,,,,,,,
867,1043,176,,Alfreton BUASD,Alfreton,East Midlands,1043,1095,574,696,1008,less than £350k,459,,,,,,,,,,,,,,,,,
465,1044,579,,Camelford BUA,Camelford,South West,1044,781,1370,356,396,£350k-£650k,479,,,,,,,,,,,,,,,,,
1194,1044,-150,,South Earlswood,South,South East,1044,856,263,1274,886,£350k-£650k,480,,,,,,,,,,,,,,,,,
1298,1046,-252,,Newton Aycliffe BUA,Newton Aycliffe,North East,1046,1197,146,1324,626,less than £350k,460,,,,,,,,,,,,,,,,,
855,1047,192,,Portishead BUA,Portishead,South West,1047,734,1169,982,469,£350k-£650k,481,,,,,,,,,,,,,,,,,
1310,1048,-262,,South Milford BUA,South Milford,Yorkshire and Humberside,1048,1281,441,1062,559,£350k-£650k,482,,,,,,,,,,,,,,,,,
1046,1049,3,,Indian Queens BUA,Indian Queens,South West,1049,1057,1244,601,495,£350k-£650k,483,,,,,,,,,,,,,,,,,
673,1050,377,,Hoo St Werburgh BUA,Hoo St Werburgh,South East,1050,977,374,1119,888,£350k-£650k,484,,,,,,,,,,,,,,,,,
565,1051,486,,St Just BUA,St Just,South West,1051,446,1013,234,1367,£350k-£650k,485,,,,,,,,,,,,,,,,,
976,1052,76,,Long Lawford BUA,Long Lawford,West Midlands,1052,1063,99,1183,1137,£350k-£650k,486,,,,,,,,,,,,,,,,,
835,1053,218,,Shortstown BUA,Shortstown,East of England,1053,1158,59,1322,935,£350k-£650k,487,,,,,,,,,,,,,,,,,
1065,1054,-11,,Stevenage BUASD,Stevenage,East of England,1054,959,1150,1018,298,£350k-£650k,488,,,,,,,,,,,,,,,,,
696,1055,359,,Holmes Chapel BUA,Holmes Chapel,North West,1055,620,1216,946,568,£350k-£650k,489,,,,,,,,,,,,,,,,,
1338,1056,-282,,Calverton BUA,Calverton,East Midlands,1056,1290,169,1131,813,less than £350k,461,,,,,,,,,,,,,,,,,
1120,1057,-63,,Hendreforgan BUASD,Hendreforgan,Wales,1057,1138,174,986,1159,less than £350k,462,,,,,,,,,,,,,,,,,
810,1058,248,,Fenstanton BUA,Fenstanton,East of England,1058,1324,1322,278,380,£350k-£650k,490,,,,,,,,,,,,,,,,,
1079,1059,-20,,Goole BUASD,Goole,Yorkshire and Humberside,1059,822,1093,629,912,less than £350k,463,,,,,,,,,,,,,,,,,
1342,1060,-282,,Whitnash BUASD,Whitnash,West Midlands,1060,1144,84,1154,1144,£350k-£650k,491,,,,,,,,,,,,,,,,,
1231,1061,-170,,Maltby BUASD,Maltby,Yorkshire and Humberside,1061,1233,210,1286,585,less than £350k,464,,,,,,,,,,,,,,,,,
1337,1062,-275,,Featherstone (South Staffordshire) BUA,Featherstone (South Staffordshire),West Midlands,1062,920,135,1352,918,£350k-£650k,492,,,,,,,,,,,,,,,,,
1174,1063,-111,,Market Warsop BUA,Market Warsop,East Midlands,1063,1241,180,972,1075,less than £350k,465,,,,,,,,,,,,,,,,,
903,1064,161,,Crewe BUASD,Crewe,North West,1064,1235,809,932,430,less than £350k,466,,,,,,,,,,,,,,,,,
642,1065,423,,Burton Latimer BUASD,Burton Latimer,East Midlands,1065,1082,737,556,1062,less than £350k,467,,,,,,,,,,,,,,,,,
647,1066,419,,Grays BUASD,Grays,East of England,1066,590,1311,1058,318,£350k-£650k,493,,,,,,,,,,,,,,,,,
1096,1067,-29,,Netherton BUA,Netherton,Yorkshire and Humberside,1067,1162,148,855,1257,less than £350k,468,,,,,,,,,,,,,,,,,
1015,1068,53,,Wednesfield BUASD,Wednesfield,West Midlands,1068,253,479,1347,999,less than £350k,470,,,,,,,,,,,,,,,,,
596,1068,472,,Dalton-in-Furness BUA,Dalton-in-Furness,North West,1068,1050,897,115,1324,less than £350k,469,,,,,,,,,,,,,,,,,
1247,1070,-177,,Woodingdean BUASD,Woodingdean,South East,1070,446,93,1372,1219,£350k-£650k,494,,,,,,,,,,,,,,,,,
964,1071,107,,Eye (City of Peterborough) BUASD,Eye (City of Peterborough),East of England,1071,1334,181,993,977,less than £350k,471,,,,,,,,,,,,,,,,,
1143,1072,-71,,Shevington Vale BUASD,Shevington Vale,North West,1072,680,806,1161,673,less than £350k,472,,,,,,,,,,,,,,,,,
932,1073,141,,Whitworth BUASD,Whitworth,North West,1073,956,647,525,1247,less than £350k,473,,,,,,,,,,,,,,,,,
652,1074,422,,Selsey BUA,Selsey,South East,1074,288,451,958,1343,£350k-£650k,495,,,,,,,,,,,,,,,,,
336,1075,739,,Longtown BUA,Longtown,North West,1075,256,959,478,1372,less than £350k,474,,,,,,,,,,,,,,,,,
447,1076,629,,Soham BUASD,Soham,East of England,1076,774,1264,536,844,£350k-£650k,496,,,,,,,,,,,,,,,,,
970,1077,107,,Somersham (Huntingdonshire) BUA,Somersham (Huntingdonshire),East of England,1077,1358,386,342,1233,£350k-£650k,497,,,,,,,,,,,,,,,,,
1328,1078,-250,,Ravenshead BUA,Ravenshead,East Midlands,1078,1249,324,1216,575,£350k-£650k,498,,,,,,,,,,,,,,,,,
252,1079,827,,Great Ayton BUA,Great Ayton,Yorkshire and Humberside,1079,660,1191,148,1308,less than £350k,475,,,,,,,,,,,,,,,,,
920,1080,160,,Kibworth Harcourt BUASD,Kibworth Harcourt,East Midlands,1080,1364,1280,446,286,£350k-£650k,499,,,,,,,,,,,,,,,,,
1258,1081,-177,,Bedworth BUASD,Bedworth,West Midlands,1081,1034,186,1332,790,less than £350k,476,,,,,,,,,,,,,,,,,
952,1082,130,,Cudworth BUASD,Cudworth,Yorkshire and Humberside,1082,1168,60,1217,1142,less than £350k,477,,,,,,,,,,,,,,,,,
902,1083,181,,Cheshunt,Cheshunt,East of England,1083,788,875,1029,759,Over £650k,106,,,,,,,,,,,,,,,,,
1350,1084,-266,,Longbenton BUASD,Longbenton,North East,1084,1208,365,1343,298,less than £350k,478,,,,,,,,,,,,,,,,,
1254,1085,-169,,Clifton (City of Nottingham) BUASD,Clifton (City of Nottingham),East Midlands,1085,1126,590,1106,618,less than £350k,479,,,,,,,,,,,,,,,,,
968,1086,118,,Peasedown St John BUA,Peasedown St John,South West,1086,791,787,1056,798,£350k-£650k,500,,,,,,,,,,,,,,,,,
955,1086,131,,Weaverham BUA,Weaverham,North West,1086,1059,460,769,1136,less than £350k,480,,,,,,,,,,,,,,,,,
834,1088,254,,Clay Cross BUASD,Clay Cross,East Midlands,1088,956,1019,976,570,less than £350k,481,,,,,,,,,,,,,,,,,
1306,1089,-217,,Spixworth BUA,Spixworth,East of England,1089,771,482,1289,727,£350k-£650k,501,,,,,,,,,,,,,,,,,
770,1090,320,,Hunmanby BUA,Hunmanby,Yorkshire and Humberside,1090,846,901,441,1225,less than £350k,482,,,,,,,,,,,,,,,,,
1084,1091,7,,Prescot BUASD,Prescot,North West,1091,1341,721,1041,311,less than £350k,483,,,,,,,,,,,,,,,,,
1176,1092,-84,,Solihull BUASD,Solihull,West Midlands,1092,890,1233,1089,210,£350k-£650k,502,,,,,,,,,,,,,,,,,
1199,1093,-106,,Kimberley BUASD,Kimberley,East Midlands,1093,1243,814,914,506,less than £350k,484,,,,,,,,,,,,,,,,,
1110,1094,-16,,Welwyn Garden City BUASD,Welwyn Garden City,East of England,1094,896,1065,1268,136,Over £650k,107,,,,,,,,,,,,,,,,,
509,1095,586,,Cowbridge BUA,Cowbridge,Wales,1095,930,1343,165,1002,£350k-£650k,503,,,,,,,,,,,,,,,,,
1029,1096,67,,Scunthorpe BUA,Scunthorpe,Yorkshire and Humberside,1096,1206,408,1185,642,less than £350k,485,,,,,,,,,,,,,,,,,
1058,1097,39,,Ellesmere Port BUASD,Ellesmere Port,North West,1097,987,599,1272,527,less than £350k,486,,,,,,,,,,,,,,,,,
762,1098,336,,Bulford Camp BUA,Bulford Camp,South West,1098,404,985,699,1236,£350k-£650k,504,,,,,,,,,,,,,,,,,
760,1099,339,,Sutton Bridge BUA,Sutton Bridge,East Midlands,1099,586,754,667,1288,less than £350k,487,,,,,,,,,,,,,,,,,
1024,1100,76,,Holsworthy BUA,Holsworthy,South West,1100,1093,1052,432,1007,less than £350k,488,,,,,,,,,,,,,,,,,
823,1101,278,,Finedon BUA,Finedon,East Midlands,1101,1335,652,218,1243,£350k-£650k,505,,,,,,,,,,,,,,,,,
1211,1102,-109,,Skellingthorpe BUA,Skellingthorpe,East Midlands,1102,1259,612,1091,492,£350k-£650k,506,,,,,,,,,,,,,,,,,
1319,1102,-217,,Barlestone BUA,Barlestone,East Midlands,1102,1304,570,1023,573,less than £350k,489,,,,,,,,,,,,,,,,,
940,1104,164,,Jaywick BUA,Jaywick,East of England,1104,385,42,1364,1362,less than £350k,490,,,,,,,,,,,,,,,,,
1076,1105,29,,Tyldesley BUASD,Tyldesley,North West,1105,1273,329,978,921,less than £350k,491,,,,,,,,,,,,,,,,,
1178,1106,-72,,Golborne BUASD,Golborne,North West,1106,1301,348,1179,595,less than £350k,492,,,,,,,,,,,,,,,,,
1020,1107,87,,Ossett BUASD,Ossett,Yorkshire and Humberside,1107,1192,521,1085,687,less than £350k,493,,,,,,,,,,,,,,,,,
1030,1108,78,,Waltham Forest,Waltham,Greater London,1108,1006,1158,845,569,Over £650k,108,,,,,,,,,,,,,,,,,
1167,1109,-58,,Banstead,Banstead,South East,1109,851,1134,1239,218,Over £650k,109,,,,,,,,,,,,,,,,,
1010,1110,100,,Blackhall Colliery BUASD,Blackhall Colliery,North East,1110,446,57,1314,1354,less than £350k,494,,,,,,,,,,,,,,,,,
1188,1111,-77,,Hindley BUASD,Hindley,North West,1111,1288,334,1011,864,less than £350k,495,,,,,,,,,,,,,,,,,
950,1112,162,,Banks BUA,Banks,North West,1112,1012,980,1174,357,less than £350k,496,,,,,,,,,,,,,,,,,
1329,1113,-216,,Sedgley BUASD,Sedgley,West Midlands,1113,1164,260,1277,751,less than £350k,497,,,,,,,,,,,,,,,,,
1196,1114,-82,,Houghton Regis BUASD,Houghton Regis,East of England,1114,761,473,1172,1018,£350k-£650k,507,,,,,,,,,,,,,,,,,
1060,1115,55,,Madeley BUA,Madeley,West Midlands,1115,1237,673,383,1188,less than £350k,498,,,,,,,,,,,,,,,,,
1219,1116,-103,,Rayleigh BUASD,Rayleigh,East of England,1116,1017,1073,1101,365,£350k-£650k,508,,,,,,,,,,,,,,,,,
478,1117,639,,Chatteris BUA,Chatteris,East of England,1117,1195,918,389,1091,less than £350k,499,,,,,,,,,,,,,,,,,
1141,1118,-23,,Sutton Coldfield BUASD,Sutton Coldfield,West Midlands,1118,710,1225,1065,481,£350k-£650k,509,,,,,,,,,,,,,,,,,
1364,1119,-245,,Bracebridge Heath BUA,Bracebridge Heath,East Midlands,1119,1242,210,1119,994,less than £350k,500,,,,,,,,,,,,,,,,,
1252,1120,-132,,Great Wyrley BUASD,Great Wyrley,West Midlands,1120,820,383,1345,760,less than £350k,501,,,,,,,,,,,,,,,,,
1041,1121,80,,Belton (Great Yarmouth) BUA,Belton (Great Yarmouth),East of England,1121,261,587,1048,1321,£350k-£650k,510,,,,,,,,,,,,,,,,,
1153,1121,-32,,Marlow Bottom BUASD,Marlow Bottom,South East,1121,446,761,1115,1052,Over £650k,110,,,,,,,,,,,,,,,,,
1305,1123,-182,,Edwinstowe BUA,Edwinstowe,East Midlands,1123,1275,117,1093,1117,less than £350k,502,,,,,,,,,,,,,,,,,
1358,1123,-235,,Ratby BUA,Ratby,East Midlands,1123,1340,87,1170,1058,£350k-£650k,511,,,,,,,,,,,,,,,,,
1075,1125,50,,Denmead BUA,Denmead,South East,1125,446,1040,1091,873,£350k-£650k,512,,,,,,,,,,,,,,,,,
1357,1126,-231,,Great Notley BUASD,Great Notley,East of England,1126,1215,440,1303,404,£350k-£650k,513,,,,,,,,,,,,,,,,,
480,1127,647,,Bugbrooke BUA,Bugbrooke,East Midlands,1127,1127,997,598,924,£350k-£650k,514,,,,,,,,,,,,,,,,,
1180,1128,-52,,Waltham Abbey,Waltham,East of England,1128,965,790,776,1053,£350k-£650k,515,,,,,,,,,,,,,,,,,
1371,1129,-242,,East Goscote BUASD,East Goscote,East Midlands,1129,1368,421,1309,221,£350k-£650k,516,,,,,,,,,,,,,,,,,
1273,1130,-143,,Swillington BUA,Swillington,Yorkshire and Humberside,1130,1234,88,1201,1138,less than £350k,503,,,,,,,,,,,,,,,,,
1304,1131,-173,,Haydock BUASD,Haydock,North West,1131,1323,577,1122,445,less than £350k,504,,,,,,,,,,,,,,,,,
884,1132,248,,Cliffe Woods BUA,Cliffe Woods,South East,1132,908,153,1259,1190,£350k-£650k,517,,,,,,,,,,,,,,,,,
721,1133,412,,Pegswood BUA,Pegswood,North East,1133,1020,341,1017,1162,less than £350k,505,,,,,,,,,,,,,,,,,
699,1134,435,,Strensall BUA,Strensall,Yorkshire and Humberside,1134,341,864,1187,1020,£350k-£650k,518,,,,,,,,,,,,,,,,,
1083,1135,52,,Kenilworth BUA,Kenilworth,West Midlands,1135,1238,948,509,953,£350k-£650k,519,,,,,,,,,,,,,,,,,
1255,1136,-119,,Ashton-in-Makerfield BUASD,Ashton-in-Makerfield,North West,1136,1307,244,1060,990,less than £350k,506,,,,,,,,,,,,,,,,,
998,1137,139,,Pocklington BUA,Pocklington,Yorkshire and Humberside,1137,1137,1284,842,293,£350k-£650k,520,,,,,,,,,,,,,,,,,
1368,1138,-230,,Blackheath BUASD,Blackheath,West Midlands,1138,1239,315,1319,520,less than £350k,507,,,,,,,,,,,,,,,,,
935,1139,204,,Paddock Wood BUA,Paddock Wood,South East,1139,733,1103,955,789,£350k-£650k,521,,,,,,,,,,,,,,,,,
1186,1140,-46,,Caddington BUA,Caddington,East of England,1140,446,177,1328,1259,£350k-£650k,522,,,,,,,,,,,,,,,,,
881,1141,260,,Mattishall BUA,Mattishall,East of England,1141,1177,942,290,1203,£350k-£650k,523,,,,,,,,,,,,,,,,,
1303,1142,-161,,Camberley BUASD,Camberley,South East,1142,793,1303,1266,62,£350k-£650k,524,,,,,,,,,,,,,,,,,
962,1142,180,,Havering BUASD,Havering,Greater London,1142,889,1052,1157,473,Over £650k,111,,,,,,,,,,,,,,,,,
1232,1144,-88,,Irlam BUASD,Irlam,North West,1144,736,455,1221,1060,less than £350k,508,,,,,,,,,,,,,,,,,
1272,1145,-127,,New Addington BUA,New Addington,Greater London,1145,933,133,1364,1056,£350k-£650k,525,,,,,,,,,,,,,,,,,
1059,1146,87,,Gwaun-Cae-Gurwen BUASD,Gwaun-Cae-Gurwen,Wales,1146,727,240,991,1361,less than £350k,509,,,,,,,,,,,,,,,,,
929,1147,218,,Addlestone,Addlestone,South East,1147,767,1219,1202,325,Over £650k,112,,,,,,,,,,,,,,,,,
1126,1148,22,,Radlett BUA,Radlett,East of England,1148,1052,1210,1064,285,Over £650k,113,,,,,,,,,,,,,,,,,
1124,1149,25,,Albrighton BUA,Albrighton,West Midlands,1149,1146,1020,754,762,£350k-£650k,526,,,,,,,,,,,,,,,,,
737,1150,413,,East Wittering BUASD,East Wittering,South East,1150,169,1317,1334,416,Over £650k,114,,,,,,,,,,,,,,,,,
1222,1151,-71,,Brough BUASD,Brough,Yorkshire and Humberside,1151,1114,1329,1046,76,less than £350k,510,,,,,,,,,,,,,,,,,
813,1152,339,,Barton-le-Clay BUA,Barton-le-Clay,East of England,1152,446,1105,731,1194,£350k-£650k,527,,,,,,,,,,,,,,,,,
1072,1152,80,,Standish BUASD,Standish,North West,1152,1261,565,925,852,less than £350k,511,,,,,,,,,,,,,,,,,
1107,1154,47,,Westhoughton BUASD,Westhoughton,North West,1154,1276,439,1087,768,less than £350k,512,,,,,,,,,,,,,,,,,
1210,1155,-55,,Rainworth BUA,Rainworth,East Midlands,1155,1036,220,1360,843,less than £350k,513,,,,,,,,,,,,,,,,,
1026,1156,130,,Warboys BUA,Warboys,East of England,1156,1359,427,404,1270,£350k-£650k,528,,,,,,,,,,,,,,,,,
680,1157,477,,Dunchurch BUA,Dunchurch,West Midlands,1157,1236,844,494,1084,£350k-£650k,529,,,,,,,,,,,,,,,,,
1080,1158,78,,Crosby BUASD,Crosby,North West,1158,1152,1068,567,932,less than £350k,514,,,,,,,,,,,,,,,,,
1108,1159,51,,Carterton BUASD,Carterton,South East,1159,779,793,1172,813,£350k-£650k,530,,,,,,,,,,,,,,,,,
661,1160,499,,Hoddesdon BUASD,Hoddesdon,East of England,1160,642,1301,710,855,£350k-£650k,531,,,,,,,,,,,,,,,,,
1284,1161,-123,,Blidworth BUA,Blidworth,East Midlands,1161,1269,295,1242,734,less than £350k,515,,,,,,,,,,,,,,,,,
452,1162,710,,Catterick BUA,Catterick,Yorkshire and Humberside,1162,554,964,450,1371,less than £350k,516,,,,,,,,,,,,,,,,,
744,1163,419,,Waltham Cross,Waltham,East of England,1163,646,1323,1068,424,£350k-£650k,532,,,,,,,,,,,,,,,,,
1201,1164,-37,,Thurnscoe BUASD,Thurnscoe,Yorkshire and Humberside,1164,1200,77,1251,1174,less than £350k,517,,,,,,,,,,,,,,,,,
1318,1165,-153,,Shepshed BUA,Shepshed,East Midlands,1165,1325,1290,808,130,less than £350k,518,,,,,,,,,,,,,,,,,
946,1166,220,,Wombourne BUA,Wombourne,West Midlands,1166,597,1009,1143,838,£350k-£650k,533,,,,,,,,,,,,,,,,,
526,1167,641,,Heathfield BUASD,Heathfield,South East,1167,446,1230,964,896,£350k-£650k,534,,,,,,,,,,,,,,,,,
1274,1168,-106,,Bowburn BUA,Bowburn,North East,1168,1119,243,1324,839,less than £350k,519,,,,,,,,,,,,,,,,,
1361,1169,-192,,Holton le Clay BUA,Holton le Clay,East Midlands,1169,877,463,1252,961,less than £350k,520,,,,,,,,,,,,,,,,,
1150,1170,20,,Hextable BUASD,Hextable,South East,1170,785,275,1207,1232,£350k-£650k,535,,,,,,,,,,,,,,,,,
1362,1170,-192,,Cherry Willingham BUASD,Cherry Willingham,East Midlands,1170,1173,604,1110,741,less than £350k,521,,,,,,,,,,,,,,,,,
758,1172,414,,Coven BUA,Coven,West Midlands,1172,941,840,997,930,£350k-£650k,536,,,,,,,,,,,,,,,,,
1277,1172,-105,,Billinge BUA,Billinge,North West,1172,1313,39,1127,1275,less than £350k,522,,,,,,,,,,,,,,,,,
1105,1174,69,,Formby BUA,Formby,North West,1174,1131,812,1124,580,£350k-£650k,537,,,,,,,,,,,,,,,,,
1180,1175,-5,,Connah's Quay BUASD,Connah's Quay,Wales,1175,641,638,1235,999,less than £350k,523,,,,,,,,,,,,,,,,,
1106,1176,70,,Shotton BUASD,Shotton,Wales,1176,749,869,1197,769,less than £350k,524,,,,,,,,,,,,,,,,,
1234,1177,-57,,Ashford,Ashford,South East,1177,694,919,1313,536,Over £650k,115,,,,,,,,,,,,,,,,,
849,1178,329,,Chalgrove BUA,Chalgrove,South East,1178,861,655,520,1359,£350k-£650k,538,,,,,,,,,,,,,,,,,
1339,1179,-160,,North Hykeham BUASD,North Hykeham,East Midlands,1179,1128,579,1353,378,less than £350k,525,,,,,,,,,,,,,,,,,
1348,1180,-168,,Carlton (Gedling) BUASD,Carlton (Gedling),East Midlands,1180,1162,729,1121,629,less than £350k,526,,,,,,,,,,,,,,,,,
805,1181,376,,Great Dunmow BUA,Great Dunmow,East of England,1181,1282,1249,333,804,Over £650k,116,,,,,,,,,,,,,,,,,
972,1182,210,,Blackrod BUASD,Blackrod,North West,1182,1260,89,1005,1309,less than £350k,527,,,,,,,,,,,,,,,,,
838,1183,345,,Enfield,Enfield,Greater London,1183,962,1270,880,584,Over £650k,117,,,,,,,,,,,,,,,,,
1238,1183,-55,,Swinton BUASD,Swinton,North West,1183,1224,530,1150,715,less than £350k,528,,,,,,,,,,,,,,,,,
1138,1185,47,,Wilstead BUA,Wilstead,East of England,1185,1079,942,997,734,£350k-£650k,539,,,,,,,,,,,,,,,,,
1146,1186,40,,Jacksdale BUASD,Jacksdale,East Midlands,1186,1175,600,975,963,less than £350k,529,,,,,,,,,,,,,,,,,
659,1187,528,,Etwall BUA,Etwall,East Midlands,1187,1193,708,469,1240,£350k-£650k,540,,,,,,,,,,,,,,,,,
1191,1188,-3,,Kirkby-in-Ashfield BUASD,Kirkby-in-Ashfield,East Midlands,1188,1205,371,1225,806,less than £350k,530,,,,,,,,,,,,,,,,,
1355,1189,-166,,Moorends BUASD,Moorends,Yorkshire and Humberside,1189,1336,19,1356,1172,less than £350k,531,,,,,,,,,,,,,,,,,
1260,1190,-70,,Upton (Wakefield) BUA,Upton (Wakefield),Yorkshire and Humberside,1190,1254,50,1355,1087,less than £350k,532,,,,,,,,,,,,,,,,,
1112,1191,79,,Goostrey BUA,Goostrey,North West,1191,1157,1169,669,776,£350k-£650k,541,,,,,,,,,,,,,,,,,
1239,1192,-47,,Sherburn (County Durham) BUA,Sherburn (County Durham),North East,1192,1080,20,1299,1363,less than £350k,533,,,,,,,,,,,,,,,,,
1130,1193,63,,Borehamwood,Borehamwood,East of England,1193,1104,723,1348,315,Over £650k,118,,,,,,,,,,,,,,,,,
328,1194,866,,Stokesley BUA,Stokesley,Yorkshire and Humberside,1194,821,1220,349,1234,£350k-£650k,542,,,,,,,,,,,,,,,,,
1230,1195,-35,,Selston BUASD,Selston,East Midlands,1195,1185,244,1192,1087,£350k-£650k,543,,,,,,,,,,,,,,,,,
1166,1196,30,,Penyffordd BUA,Penyffordd,Wales,1196,1003,1143,1234,291,less than £350k,534,,,,,,,,,,,,,,,,,
1151,1197,46,,Coalville BUASD,Coalville,East Midlands,1197,1297,552,1006,819,less than £350k,535,,,,,,,,,,,,,,,,,
976,1198,222,,Harefield,Harefield,Greater London,1198,335,1106,1033,1128,Over £650k,119,,,,,,,,,,,,,,,,,
891,1199,308,,Little Paxton BUA,Little Paxton,East of England,1199,629,1057,1103,897,£350k-£650k,544,,,,,,,,,,,,,,,,,
1215,1200,-15,,Kiveton Park BUASD,Kiveton Park,Yorkshire and Humberside,1200,972,150,1111,1336,less than £350k,536,,,,,,,,,,,,,,,,,
1308,1201,-107,,West Bromwich (East) BUASD,West Bromwich (East),West Midlands,1201,380,926,1317,821,less than £350k,537,,,,,,,,,,,,,,,,,
900,1202,302,,Witton Gilbert BUASD,Witton Gilbert,North East,1202,1125,157,1012,1329,less than £350k,538,,,,,,,,,,,,,,,,,
945,1203,258,,Redbridge BUASD,Redbridge,Greater London,1203,946,1193,1056,578,Over £650k,120,,,,,,,,,,,,,,,,,
995,1204,209,,Swavesey BUA,Swavesey,East of England,1204,1330,731,595,1033,£350k-£650k,545,,,,,,,,,,,,,,,,,
1185,1205,20,,Yateley BUASD,Yateley,South East,1205,863,712,1150,966,£350k-£650k,546,,,,,,,,,,,,,,,,,
1190,1206,16,,Walton BUASD,Walton,Yorkshire and Humberside,1206,1221,313,724,1295,£350k-£650k,547,,,,,,,,,,,,,,,,,
1335,1207,-128,,Coxhoe BUA,Coxhoe,North East,1207,1114,100,1300,1186,less than £350k,539,,,,,,,,,,,,,,,,,
1341,1208,-133,,Stilton BUA,Stilton,East of England,1208,1367,912,647,836,£350k-£650k,548,,,,,,,,,,,,,,,,,
824,1209,385,,Coalway BUASD,Coalway,South West,1209,726,1035,923,1058,£350k-£650k,549,,,,,,,,,,,,,,,,,
1189,1210,21,,Skelmersdale BUASD,Skelmersdale,North West,1210,1292,518,1222,600,less than £350k,540,,,,,,,,,,,,,,,,,
1291,1211,-80,,New Rossington BUA,New Rossington,Yorkshire and Humberside,1211,1285,147,1335,880,less than £350k,541,,,,,,,,,,,,,,,,,
1102,1212,110,,Southam BUA,Southam,West Midlands,1212,1088,1085,694,979,£350k-£650k,550,,,,,,,,,,,,,,,,,
1224,1213,-11,,Newton (Bolsover) BUA,Newton (Bolsover),East Midlands,1213,1130,683,896,1066,less than £350k,542,,,,,,,,,,,,,,,,,
1321,1214,-107,,Stanford-le-Hope BUA,Stanford-le-Hope,East of England,1214,1066,909,1003,854,£350k-£650k,551,,,,,,,,,,,,,,,,,
860,1215,355,,Middleton Cheney BUA,Middleton Cheney,East Midlands,1215,1031,1200,213,1279,£350k-£650k,552,,,,,,,,,,,,,,,,,
980,1215,235,,Epping BUA,Epping,East of England,1215,1294,1044,802,650,Over £650k,121,,,,,,,,,,,,,,,,,
1038,1217,179,,Brampton (Huntingdonshire) BUA,Brampton (Huntingdonshire),East of England,1217,1314,1080,614,791,£350k-£650k,553,,,,,,,,,,,,,,,,,
1117,1218,101,,Red Lodge BUA,Red Lodge,East of England,1218,1322,209,1281,863,£350k-£650k,554,,,,,,,,,,,,,,,,,
1320,1219,-101,,Corby BUASD,Corby,East Midlands,1219,1370,316,1342,522,less than £350k,543,,,,,,,,,,,,,,,,,
1347,1220,-127,,Berinsfield BUA,Berinsfield,South East,1220,753,271,1366,1113,£350k-£650k,555,,,,,,,,,,,,,,,,,
766,1221,455,,Cholsey BUA,Cholsey,South East,1221,446,1364,726,771,£350k-£650k,556,,,,,,,,,,,,,,,,,
998,1222,224,,Fairfield Park BUA,Fairfield Park,East of England,1222,958,991,950,985,£350k-£650k,557,,,,,,,,,,,,,,,,,
585,1223,638,,Flexbury BUA,Flexbury,South West,1223,363,919,893,1323,£350k-£650k,558,,,,,,,,,,,,,,,,,
591,1224,633,,Shenley BUA,Shenley,East of England,1224,1111,367,810,1318,Over £650k,122,,,,,,,,,,,,,,,,,
404,1225,821,,Stamford Bridge BUA,Stamford Bridge,Yorkshire and Humberside,1225,280,1342,655,1193,£350k-£650k,559,,,,,,,,,,,,,,,,,
1226,1226,0,,North Walney BUASD,North Walney,North West,1226,316,716,1296,1155,less than £350k,544,,,,,,,,,,,,,,,,,
930,1227,297,,Lakenheath BUA,Lakenheath,East of England,1227,774,447,989,1330,£350k-£650k,560,,,,,,,,,,,,,,,,,
1233,1228,-5,,Higher Folds BUA,Higher Folds,North West,1228,1286,6,1369,1348,less than £350k,545,,,,,,,,,,,,,,,,,
1314,1229,-85,,Cramlington BUASD,Cramlington,North East,1229,1148,755,1318,413,less than £350k,546,,,,,,,,,,,,,,,,,
1077,1230,153,,Uppingham BUA,Uppingham,East Midlands,1230,1372,1361,88,842,£350k-£650k,561,,,,,,,,,,,,,,,,,
1253,1231,-22,,Whitefield BUASD,Whitefield,North West,1231,1009,578,1117,1086,less than £350k,547,,,,,,,,,,,,,,,,,
1323,1232,-91,,Anstey BUA,Anstey,East Midlands,1232,1349,127,964,1297,£350k-£650k,562,,,,,,,,,,,,,,,,,
1285,1233,-52,,Frimley BUASD,Frimley,South East,1233,374,1337,1290,384,£350k-£650k,563,,,,,,,,,,,,,,,,,
1087,1234,147,,Kirkby BUA,Kirkby,North West,1234,1109,450,1300,816,less than £350k,548,,,,,,,,,,,,,,,,,
1148,1235,87,,Tilbury BUASD,Tilbury,East of England,1235,552,1226,1280,602,£350k-£650k,564,,,,,,,,,,,,,,,,,
1149,1236,87,,Bracknell BUASD,Bracknell,South East,1236,1067,1254,1279,100,£350k-£650k,565,,,,,,,,,,,,,,,,,
1195,1237,42,,South Hetton BUASD,South Hetton,North East,1237,907,46,1339,1365,less than £350k,549,,,,,,,,,,,,,,,,,
